probeset,hgnc
493,HIST1H2AL
495,ANKRD20A8P///ANKRD20A4///ANKRD20A1///ANKRD20A3///ANKRD20A2///ANKRD20A7P///ANKRD20A5P///ANKRD20A9P///ANKRD20A11P
496,TMEM53
497,DAPP1
499,COL4A3BP
500,MEST
503,SLC44A1
504,UFL1
506,VN1R6P///VN1R4
508,ENSAP2///ENSA///ENSAP1///ENSAP3
510,RNF213
511,PGAM1///PGAM4///PGAM1P5
512,BMP1
513,PUS1
514,UFM1
515,TMEM79
516,PMCHL1///PMCHL2
517,ENAH
518,ST14
519,RBMS3
520,SNX29
521,HINT2
522,FIGNL1
523,HACL1
524,PTPN20B///PTPN20A///PTPN20C
525,SNCAIP
526,MXI1
527,IL4
528,SPIN1
529,PTK6
530,FOXJ3
531,CDC42
532,IGF1
533,TMEM136
534,MRGPRX3
535,ANO7
536,TRIM72
537,H2AFY
538,PGM5P1///ZNF66P///SPINK9///CYP3A5///STK3///ADAMTSL3
539,ZNF563
540,TXNDC2
541,RPS3AP22///RPS3AP6///RPS3A///RPS3AP47///RPS3AP49///RPS3AP26///RPS3AP15///RPS3AP50///RPS3AP53///RPS3AP12///RPS3AP42///RPS3AP14
542,LRR1
543,KDM2A
544,MGAM
545,UCHL1
546,NCAM1
547,TAMM41
548,AEN
549,HMGA1
550,ADAM19
551,DGUOK
552,CCR7
553,ZNF688
554,TNFAIP3
555,ARRDC3
556,YKT6
557,PSMA7
558,HSD17B2
559,AP3M2
560,NUDCD3
561,SLC25A41
562,FAM203B///FAM203A
563,ARMC10P1///ARMC10
564,AKD1
565,DKK3
566,ABLIM3
567,LTN1
568,HLA-DRA
570,INPPL1
571,AFF1
572,ALG8
574,HEPHL1
575,TRPM8
576,SCAMP2
577,TMEM63B
578,ADAMDEC1
579,IK
580,GPR42///FFAR3
581,FAM136A
582,HMGN3
583,ITK
584,GIMAP2
585,PFDN4
586,DIMT1
588,COX15
589,ZNF572
591,KCNG2
592,TCEANC
593,TBC1D8B///BLOC1S6///TMEM182///TMEM45A///UGDH-AS1///ASTN2///MIPOL1
595,DLGAP1
596,ZNF177
597,RPS15///RPS15P5
599,TARDBP
600,TOMM40L
601,CCDC173
603,IQSEC1
604,CDR2
605,FOXP4
607,GCNT2
608,CLYBL
609,CD6
611,NOTCH4
612,LILRB5
613,CABP7
615,SEC61A2
616,CAMK1G
617,OXTR
618,CDH5
619,EIF3M
620,ZNF384
621,DDIT3
622,ADCY5
623,KISS1
624,KLK6
625,STX1B
626,DEFA5
628,BDKRB2
629,ZNF485
630,DDR2
632,FAM217A
633,ETNK1
634,AAR2
635,PRR7
637,ARSD///GYG2P1
638,ZNF397
639,LY6G6C
640,EPOR
641,HMOX1
642,MBD5
643,ANKRD44
644,HN1L
646,PER1
647,GEN1
648,OR51A2///OR51A4
649,UHRF1
650,UGDH-AS1///NEDD4///TMEM45A///C12orf55///BLOC1S6///CYSLTR1///TBC1D8B///NAV3///HLA-DQA1///FSIP2///ATP9B///TMEM212///ODF2L///MIPOL1///PI4K2B///CCDC144A///XAF1
651,C14orf169
652,SERPINF2
654,MED30
655,ACP6
656,PINK1
657,OBSCN
658,CNTF///ZFP91-CNTF
659,GRIP2
661,NUPL2
662,NUMB
663,ZNF227
664,RUNX2
666,ATF6
667,TPD52L1
668,KCNJ14
669,LMF2
670,IGSF9
671,UHRF1BP1
672,CEACAM7
673,CXCR2
674,MYADM
676,C11orf35
677,MIPOL1///ADAMTSL3///TFPI///FAM228B
678,GOLGB1
679,KRT78
680,UBXN6
682,XKR6
683,AXDND1
684,IFNAR2
685,CWC27
686,HMBS
687,CPNE9
688,TICRR
689,RCBTB2
690,MICAL2
691,BPIFA3
692,GLO1
693,SMUG1
694,ADGB
695,NEDD9
696,GLTSCR2
697,TOMM22
698,FAT2
699,TBC1D9B
700,UPP2
701,PPIAP1///PPIAP3///PPIAP31///PPIAP6///PPIAP9///PPIAP19///PPIAP14///PPIAP13///PPIAP22///PPIAP11///PPIA///PPIAP23///PPIAP29///PPIAP25
703,OR2AI1P
704,IGHV3OR16-6///IGHV3-15
705,MED16
707,IRX1
708,CD320
709,YWHAB
711,VANGL2
712,FNIP1///RAPGEF6
715,CRNN
716,GLTP///GLTPP1
717,BORA
719,HSH2D
720,DOK4
721,PFKFB2
723,PPARD
724,WDR83OS
725,MB
726,ARF1
727,CYB5R4
728,PSMB1
729,KIAA1984-AS1
732,PRRC2B
733,C1orf52
734,CKS1B
735,KRT72
736,C19orf48
737,TAC3
738,SHH
739,PKDCC
740,SLC5A11
741,PRDM8
742,TTC12
743,DYRK3
744,LUM
745,KIAA1033
746,TMEM254
747,CHMP1A
748,AHNAK
749,METTL8
750,ELOVL4
751,KATNA1
