probeset,hgnc
7894019,EIF3D
7894020,SEPT2
7894026,USP22
7894029,SEPT2
7894033,RPL19
7894034,ANAPC5
7894035,RNPS1
7894036,ECT2///RHOA///SUPT7L
7894037,PBX4///STK36
7894041,MIR3656///TRAPPC4
7894042,HNRNPC
7894043,RPS25
7894044,EIF4G2
7894045,HNRNPC
7894049,KAT7
7894051,SNORD18B///SNORD18C///RPL4P5///RPL4P4///RPL4
7894052,EIF3D
7894055,MIR3064///MIR5047///DDX5
7894057,RPL28
7894058,EIF4G2
7894061,RPS24
7894067,CNPPD1
7894068,GUK1
7894070,RPS10P3///RPS10
7894072,SART3
7894074,CANX
7894076,RPL11
7894078,RNPS1P1///RNPS1
7894080,EIF3D
7894083,RHOA
7894084,ABCF1
7894086,RPL24P4///RPL24
7894088,ZNF259
7894098,EIF4G2
7894100,RPL10A
7894104,IK
7894106,RPS13///PIK3C2A
7894107,HNRNPC
7894110,HNRNPC
7894114,RPL18
7894115,KHDRBS1
7894118,ARF3
7894119,RPS25
7894123,KARS
7894124,RNPS1
7894125,SNORA27///RPL21P28///RPL21///RPL21P119///RPL21P11///RPL21P75///RPL21P120
7894129,NPM1
7894134,JTB
7894136,ATP6V0E1
7894138,SMNDC1
7894146,SART1
7894157,SNX3
7894158,MIR3655///IK
7894161,EIF4G2
7894162,HNRNPC
7894165,RPS3AP5
7894171,SEPT2
7894173,CANX
7894174,SRP14
7894176,ANAPC5
7894184,EIF3D
7894185,OAZ1
7894186,ILF2
7894187,NARS
7894188,C22orf28
7894195,TAF10///TPP1
7894196,SNX32
7894199,SART1
7894204,ZNF259P1///ZNF259
7894205,RPS3AP12///RPS3AP53///RPS3AP40///RPS3AP44///RPS3AP49///RPS3AP15///RPS3AP5///RPS3AP14///RPS3AP25///RPS3AP34///RPS3AP35///RPS3AP30///RPS3AP33///RPS3AP29///RPS3AP47///RPS3AP6///RPS3AP39///RPS3A
7894209,CTDNEP1
7894211,CBX3P9///CBX3
7894212,FNTA
7894214,RPS24
7894218,KXD1
7894222,CANX
7894226,KAT7
7894229,CANX
7894231,STARD7
7894238,KARSP3///KARS
7894239,HNRNPD
7894240,PRPF8
7894244,KAT7
7894245,KARS
7894251,SART1
7894252,GDI2
7894254,RPS13///PIK3C2A
7894258,HNRNPD
7894262,OAZ1
7894263,RPL34P34///RPL34P33///RPL34
7894264,CFL1P4///CFL1
7894267,RPS3AP5
7894269,NONO
7894272,ATP6V0B
7894277,RPL37P23
7894279,USP22
7894282,H3F3AP4///H3F3AP6///H3F3BP1///H3F3A
7894284,NARS
7894289,EIF3D
7894290,ARF1
7894291,EIF4G2
7894292,TMED2
7894294,HNRNPC
7894295,ANAPC5
7894304,GDI2
7894305,HNRNPD
7894306,EIF3D
7894307,HNRNPA1
7894311,PRPF8
7894315,NARS
7894316,ANAPC5
7894321,RPL12P2///RPL12P38///RPL12P8///RPL12P4///NBEAL1
7894324,RPL9P28///RPL9P18///RPL9P9///RPL9P8///RPL9P7///RPL9
7894326,C1D
7894327,RPL11
7894328,PRPF8
7894329,SNRNP200
7894331,KARS
7894336,ARF1
7894341,USP22
7894350,SNRNP200
7894351,FNTA
7894355,C1DP2///C1DP4///C1DP1///C1D
7894358,SNRNP200
7894363,NONO
7894366,HSP90AB3P///HSP90AB1
7894369,PRPF8
7894372,SRP14
7894373,USP22
7894374,ABCF1
7894375,YY1
7894376,RPS27A
7894377,KAT7
7894379,CTDNEP1
7894380,HNRNPM
7894381,ZNF259
7894383,KAT7
7894386,FNTAP2///FNTA
7894388,ARF3
7894389,GUK1
7894395,GDI2P2///GDI2P1///GDI2
7894401,EIF3D
7894402,HNRNPKP4///HNRNPK
7894404,HNRNPC
7894411,EIF4G2
7894412,CNPPD1
7894413,MIR3620///ARF1P3///ARF1
7894416,JTB
7894419,HNRNPM
7894420,HNRNPM
7894421,PRPF8
7894422,NPM1
7894427,CNPPD1
7894428,RNPS1P1///RNPS1
7894429,HSP90AB2P///HSP90AB1
7894430,RPL17
7894431,PRPF8
7894433,HNRNPKP4///HNRNPK
7894434,RCC2P8///OSBPL8
7894435,SART1
7894436,HNRNPM
7894437,NONO
7894438,SNRNP200
7894439,HNRNPC
7894442,PRPF8
7894443,EIF3D
7894444,SART3
7894447,HNRNPC
7894448,KARS
7894449,HNRNPM
7894450,ABCF1
7894451,TARDBP
7894454,EIF4G2
7894457,SMNDC1
7894459,RNPS1P1///RNPS1
7894461,NPM1
7894462,KAT7
7894467,PRPF8
7894469,EIF3FP3///EIF3F
7894470,SNRNP200
7894471,OAZ1
7894472,SMNDC1
7894473,RPL11
7894478,CNPPD1
7894479,NDUFA2
7894482,HNRNPM
7894484,SEPT2
7894485,NPM1
7894489,PRPF8
7894492,TAF10///TPP1
7894496,EIF3D
7894498,PRPF8
7894501,PSMB2
7894502,SART3
7894509,RNPS1
7894512,CAPNS1
7894513,RPS5
7894515,FNTA
7894516,ERHP1///ERH
7894517,ARF3
7894518,KHDRBS1
7894519,STARD7
7894520,SRSF9
7894523,CAPNS1
7894524,STARD7
7894527,SEPT2
7894529,ATP6V0B
7894535,HNRNPKP4///HNRNPKP1///HNRNPK
7894536,RPL11
7894540,HNRNPKP2///HNRNPKP4///HNRNPK
7894542,CAPNS1
7894546,USP22
7894548,PRPF8
7894549,CNPPD1
7894551,EIF4G2
7894552,STARD7
7894553,CANX
7894555,PRPF8
7894557,IK
7894558,SART3
7894561,EIF3D
7894562,ATP6V0B
7894563,TAF10
7894566,SART3
7894571,ARF3
7894574,ANAPC5
7894579,PARK7
7894580,NARS
7894581,YY1
7894583,SART3
7894593,KAT7
7894594,SNORA72///RPL30
7894595,HNRNPC
7894596,OAZ1
7894598,MIR3655///IK
7894599,RPS3AP5
7894604,ATP6V1G2-DDX39B///DDX39B
7894605,SNORD97///EIF4G2
7894608,USP22
7894617,IK
7894619,HNRNPM
7894624,KXD1
7894627,SPAG7
7894628,HNRNPM
7894634,RPS11
7894635,KAT7
7894637,TARDBPP2///TARDBP
7894638,MIR7-1///HNRNPK
7894639,STARD7
7894640,JTB
7894642,HNRNPKP2///HNRNPK
7894648,KAT7
7894650,RPS27A
7894653,SNRNP200///C1orf222///IFT43///CNNM2
7894654,IK
7894657,SART3
7894661,ATP6V0E1
7894662,PRPF8
7894665,ANAPC5
7894666,DDX5
7894671,RPL34
7894672,HSP90AB3P///HSP90AB1
7894674,CANX
7894675,IK
7894681,ABCF1
7894682,RPL19
7894683,YY1
7894685,DDX5
7894687,CANX
7894694,SEPT2
7894696,CD48///MYH9///CAPNS1
7894698,JTB
7894699,FAUP1///FAU///SYVN1
7894700,ZNF146
7894702,PRPF8
7894704,OAZ1
7894708,IK
7894709,KAT7
7894710,USP22
7894711,ANAPC5
7894712,HNRNPM
7894715,KAT7
7894716,SRSF9
7894721,NARS
7894722,RPL11
7894723,RPL30
7894725,CANX
7894726,RNPS1
7894732,RPS5
7894734,HNRNPK
7894737,KARS
7894739,EIF3F
7894740,NBEAL1
7894742,HNRNPM
7894743,ILF2
7894744,RPL11
7894747,RNPS1
7894757,SRP14
7894758,FAUP1///FAU///SYVN1
7894761,CAPNS1
