probeset,hgnc
D89050_at,OLR1
D89052_at,ATP6V0B
D89077_at,SLA
D89289_at,FUT8
D89377_at,MSX2
D89377_s_at,MSX2
D89501_at,SMR3A
D89667_at,ESPL1///PFDN5
D89858_at,DDO
D89859_at,ZBTB14
D90042_at,NAT2
D90064_at,CEACAM8
D90070_s_at,PMAIP1
D90084_at,PDHA1
D90086_at,PDHB
D90097_at,AMYP1///AMY2B///AMY2A///AMY1A///AMY1B///AMY1C
D90209_at,ATF4///ATF4P3
D90224_at,TNFSF4
D90276_at,CEACAM4
D90279_s_at,COL5A1
D90282_at,CPS1
D90359_at,TAF1
J00073_at,ACTC1
J00105_s_at,B2M
J00116_s_at,COL2A1
J00117_f_at,CGB///CGB2///CGB1///CGB5///CGB8///CGB7
J00123_at,PENK
J00124_at,KRT14
J00129_at,FGB
J00139_s_at,DHFRP1///DHFR
J00148_cds2_f_at,GH1
J00207_rna2_at,IFNA2
J00209_f_at,IFNA4///IFNA10///IFNA17
J00210_rna1_at,IFNA1
J00212_f_at,IFNA21
J00219_s_at,IFNG
J00220_cds4_at,IGHEP1
J00268_s_at,INS-IGF2///INS
J00277_at,HRAS
J00287_at,PGA3///PGA4///PGA5
J00301_at,PTH
J00306_at,SST
J00314_at,TUBBP2///TUBB
J02611_at,APOD
J02621_s_at,HMGN1P36///HMGN1P38///HMGN1///HMGN1P37
J02645_at,EIF2S1
J02683_s_at,SLC25A5
J02758_s_at,APOA4
J02783_at,P4HB
J02843_at,CYP2E1
J02854_at,MYL9
J02871_s_at,CYP4B1
J02874_at,FABP4
J02876_at,FOLR2
J02883_at,CLPS
J02888_at,NQO2
J02902_at,PPP2R1A
J02906_at,CYP2F1P///CYP2F1
J02923_at,LCP1
J02943_at,SERPINA6
J02947_s_at,SOD3
J02960_cds1_s_at,ADRB2
J02973_rna1_at,THBD
J02982_f_at,GYPB
J03040_at,SPARC
J03060_at,GBAP1///GBA
J03068_at,TRAK1
J03071_cds3_f_at,CSH1///CSHL1///CSH2
J03077_s_at,PSAP
J03133_at,SP1
J03161_at,SRF
J03171_at,IFNAR1
J03191_at,PFN1P1///PFN1
