probeset,hgnc
70437_at,TEX264
70448_s_at,HSPB7
70453_at,ZNF263
70467_r_at,LINC00379
70471_at,ZFPM1
70473_at,HOTTIP
70476_at,PDCD6IP
70482_at,TBC1D15
70483_at,CSRNP2
70493_at,ASNS
70495_at,UBXN2A
70497_at,GREM2
70503_at,LRIG1
70520_at,PFKFB2
70527_at,C2orf42
70535_at,FGD6
70543_at,TIFA
70556_at,SYNJ2
70557_r_at,LINC00106
70560_at,COPS8
70572_at,SLC6A2
70577_at,POLD3
70579_at,WDR72
70591_at,TNIP3
70594_at,KISS1R
70602_at,LRRFIP2
70603_at,LIX1L
70606_at,AMOTL1
70617_f_at,RING1
70626_at,COL4A2
70629_at,FTCD
70630_at,EMX1
70645_at,C18orf54
70646_at,RASIP1
70649_at,GALNT15
70654_at,SPATA13
70655_at,TMC7
70657_at,CHST15
70659_at,SLFN12L
70663_at,ZNF287
70665_at,PDE5A
70671_at,WDR89
70675_at,VSIG10
70677_at,DYX1C1-CCPG1///DYX1C1
70678_at,CENPM
70680_at,C9orf64
70686_at,TM9SF1
70688_at,MMP28
70695_at,IGIP
70698_f_at,GOLGA8F///GOLGA8G///GOLGA8CP///GOLGA8EP
70703_at,MGLL
70709_at,ELAC1
70716_at,TSHZ2
70722_at,ANGPTL3
70724_at,NXPE3
70736_r_at,ACTL9
70744_at,TFG
70747_at,HCG18
70749_at,PRRG3
70751_at,USP3///FBXL22
70765_at,SP140L
70769_at,FADS1
70774_at,STXBP5-AS1
70777_at,SP7
70785_at,MIB2
70792_at,DDX6
70799_at,SLC44A5
70808_r_at,LIAS
70811_at,CDCP1
70813_at,MPZL2
70815_at,SARS2///FBXO17
70820_at,FBXO17
70829_at,RACGAP1
70831_at,CECR6
70837_at,ZBTB32
70851_at,MYO10
70865_at,ATHL1
70870_r_at,L2HGDH
70881_at,CCDC176
70890_f_at,ZNF75A
70902_at,PDXDC2P
70904_at,TNRC6C
70908_at,RPS12P20
70917_at,ILF3-AS1
70919_at,BOD1L1
70921_at,DNAH14
70926_at,CNPY4
70928_at,HIPK4
70929_f_at,TFDP2
